Есть в html, нет в dict

Нету слова 破冰器 | ['破冰器', '_', 'Ледокол']
Нету слова 维库人的脏话 | ['维库人的脏话', '_', 'Врайкульское оскорбление']
Нету слова 图纸：使命暮钟 | ['图纸：使命暮钟', '_', 'Чертеж: колокол призыва']
Нету слова 专横争斗者的项圈 | ['专横争斗者的项圈', '_', 'Колье господствующего бойца']
Нету слова 垃圾场图纸文件夹 | ['垃圾场图纸文件夹', '_', 'Книга кустарных чертежей']
Нету слова 白煮丝行者之卵 | ['白煮丝行者之卵', '_', 'Яйцо долгонога вкрутую']
Нету слова 图纸：机械兽能量背包 | ['图纸：机械兽能量背包', '_', 'Чертеж: блок питания гориллобота']
Нету слова 食谱：塘鲈蛋糕 | ['食谱：塘鲈蛋糕', '_', 'Рецепт: пироги с толстопузиком']
Нету слова 特里费 | ['特里费', '_', 'Нечистый']
Нету слова 安保之戒 | ['安保之戒', '_', 'Безопасность жизни']
Нету слова 和平守护者长靴 | ['和平守护者长靴', '_', 'Сапоги миротворца']
Нету слова 图纸：敏锐护符 | ['图纸：敏锐护符', '_', 'Чертеж: подвеска проворства']
Нету слова 食谱：炸面包圈 | ['食谱：炸面包圈', '_', 'Рецепт: троллебяка']
Нету слова 食谱：菊花茶 | ['食谱：菊花茶', '_', 'Рецепт: скорополоховый чай']
Нету слова 妖术书：掠食龙 | ['妖术书：掠食龙', '_', 'Книга сглаза: компсогнат']
Нету слова 食谱：鳄鱼浓汤 | ['食谱：鳄鱼浓汤', '_', 'Рецепт: суп из кроколиска']
Нету слова 作战魔像蓝图 | ['作战魔像蓝图', '_', 'Чертежи боевого голема']
Нету слова 阿耳忒弥德的奖励 | ['阿耳忒弥德的奖励', '_', 'Награда Артемеды']
Нету слова 好战争斗者的挫败之触 | ['好战争斗者的挫败之触', '_', 'Касание поражения воинственного бойца']
Нету слова 装备图纸：舱底水泵 | ['装备图纸：舱底水泵', '_', 'Чертеж оборудования: трюмная помпа']
Нету слова 食谱：红肉盛宴 | ['食谱：红肉盛宴', '_', 'Рецепт: кровавый пир']
Нету слова 戈尔隆德烤肉 | ['戈尔隆德烤肉', '_', 'Жареный горгрондский сюрприз']
Нету слова 鸦人占卜魔杖 | ['鸦人占卜魔杖', '_', 'Араккоанский пророческий жезл']
Нету слова 次级秘法魔杖 | ['次级秘法魔杖', '_', 'Малый таинственный жезл']
Нету слова 食谱：烤熊排 | ['食谱：烤熊排', '_', 'Рецепт: большой медвежий стейк']
Нету слова 装备图纸：储备弹药 | ['装备图纸：储备弹药', '_', 'Чертеж оборудования: большой боезапас']
Нету слова 食谱：炒科多肉 | ['食谱：炒科多肉', '_', 'Рецепт: жареное мясо кодо']
Нету слова 食谱：龙鳞鱼片 | ['食谱：龙鳞鱼片', '_', 'Рецепт: филе дракоперой рыбы-ангела']
Нету слова 食谱：苏拉玛奢华大餐 | ['食谱：苏拉玛奢华大餐', '_', 'Рецепт: щедрое сурамарское угощение']
Нету слова 微光飞蛾护腕 | ['微光飞蛾护腕', '_', 'Сияющие манжеты мотылька']
Нету слова 图纸：应急火箭鸡 | ['图纸：应急火箭鸡', '_', 'Чертеж: аварийный турбоцыпленок']
Нету слова 用掉一半的仪式粉笔 | ['用掉一半的仪式粉笔', '_', 'Исписанный ритуальный мелок']
Нету слова 徽记之戒 | ['徽记之戒', '_', 'Кольцо черепа']
Нету слова 图纸：完美同步的差速齿轮 | ['图纸：完美同步的差速齿轮', '_', 'Чертеж: идеально синхронизированный дифференциал']
Нету слова 希尔斯布莱德破损指套 | ['希尔斯布莱德破损指套', '_', 'Культи Хилсбрада']
