Список допустимых помет
букв.	буквально
вм.	вместо
груб.	грубо
детск.	детский
диал.	диалект
досл.	дословно
жарг.	жаргон
ласк.	уменьшительно-ласкательный
лат.	латынь
обр.	образно
см.	смотреть
сокр.	сокращение
устар.	устаревшее

Пометы-сферы. Где прилагательное подразумевается "термин".
геогр.	географический
геол.	геологический
грам.	грамматический
зоол.	зоологический
инт.	интернетовский жаргон
ист.	исторический
кит. мед.	китайская медицина
комп.	компьютерный
мат.	математический
мед.	медицинский
техн.	технический
физ.	физический
филос.	философский
фин.	финансовый
хим.	химический
эк.	экономический
юр.	юридический
