character,pinyin,definitions
啊,ā; á; ǎ; à; a,"I, ā междом. выражает удивление или восхищение; о!, ого! II, áмеждом. выражает вопрос или просьбу повторить еще раз; а?, ну?"
爱情,àiqíng,любовь
爱人,àiren,"муж,жена; любимый человек"
安静,ānjìng,"покойный, тихий, спокойный; тишина, покой, спокойствие"
安全,ānquán,"безопасность, безопасный"
白色,báisè,белый
班长,bānzhǎng,"староста, бригадир, командир"
办,bàn,"делать, заниматься, основывать, открывать"
办法,bànfǎ,"способ, метод, решение"
办公室,bàngōngshì,"офис, бюро, кбинет"
半夜,bànyè,"полночь, середина ночи"
帮助,bāngzhù,"помогать, помощь"
饱,bǎo,"сытый, полный"
报名,bào míng,зарегистрироваться; записаться
报纸,bàozhǐ,газета
北方,běifāng,"север, на севере, северная сторона"
背,bēi,"нести на спине; взваливать на плечи, брать на себя"
比如,bǐrú,например
比如说,bǐrúshuō,"например, к примеру"
笔,bǐ,"ручка, карандаш"
笔记,bǐjì,запись; делать запись
笔记本,bǐjìběn,блокнот; ноутбук
必须,bìxū,"должен, необходимо, обязательно следует"
边,biān,"сторона, край, граница, берег"
变,biàn,"изменяться, становиться"
变成,biànchéng,"превратиться в, становиться кем-то/чем-то"
遍,biàn,"повсюду, везде; с отриц.: нигде"
表,biǎo,"часы; выражать, показывать"
表示,biǎoshì,"выражать, показывать"
不错,búcuò,"хороший, неплохой"
不但,búdàn,не только
不够,búgòu,не хватать; недостаточно
不过,búguò,но; однако; впрочем
不太,bú tài,"не очень, не слишком"
不要,búyào,"не нужно, нельзя, не следует"
不好意思,bùhǎoyìsi,"прошу прощения, зивините; неловко, неудобно; постесняться"
不久,bùjiǔ,"скоро, недолго, недавно"
不满,bùmǎn,"недовольный; быть недовольным; быть меньше, чем"
不如,bùrú,уступать кому-либо/чему-либо в чём-либо; быть хуже; лучше уж...
不少,bù shǎo,"много, немало, достаточно много"
不同,bù tóng,"разный, различный"
不行,bùxíng,"не годится, нельзя, не пойдет; ужасно, чрезвычайно"
不一定,bùyídìng,"не всегда, необязательно"
不一会儿,bù yīhuìér,в один момент
部分,bùfen,"часть, доля"
才,cái,"только что, только-только, только сейчас"
菜单,càidān,меню
参观,cānguān,"посещать, осматривать, совершать экскурсию"
参加,cānjiā,принимать участие
草,cǎo,трава
草地,cǎodì,"газон; пастбище, луг; глухое место, захолустье"
层,céng,"этаж, слой"
查,chá,"проверять, исследовать, обращаться за справкой"
差不多,chàbuduō,почти
长,cháng,"длинный, продолговатый, удлинённый; линейный; долгий, протяженный"
常见,cháng jiàn,"обычный, часто встречающийся"
常用,cháng yòng,общеупотребительный
场,chǎng,"площадь; площадка; поле; сцена, арена; счётное слово для спортивных игр и зрелищ"
超过,chāoguò,обогнать; опередить; превысить; превзойти
超市,chāoshì,супермаркет
车辆,chēliàng,"автомобиль, транспортное средство"
称,chēng,"взвешивать (на весах), измерять вес; отвешивать"
成,chéng,"становиться, превращаться в"
成绩,chéngjì,"оценки/успеваемость (в школе), достижения, успехи"
成为,chéngwéi,становиться
重复,chóngfù,повторять; удвоение; дупликация; повторный
重新,chóngxīn,"снова, заново"
出发,chūfā,"отправляться (в путь), исходить из"
出国,chū guó,ехать за границу
出口,chūkǒu,выход
出门,chū mén,"выходить из дома; уехать; покинуть дом(выйти замуж, жить самостоятельно)"
出生,chūshēng,рождаться
出现,chūxiàn,появляться
出院,chū yuàn,выписываться из больницы
出租,chūzū,"сдавать в аренду, выдавать напрокат"
出租车,chūzūchē,такси
船,chuán,"корабль, лодка"
吹,chuī,дуть; надувать; играть на духовых инструментах; хвастать(ся);
春节,Chūnjié,"китайский Новый год, Праздник весны"
春天,chūntiān,весна; весенний; весной
词,cí,слово
词典,cídiǎn,словарь
词语,cíyǔ,"слова, выражения, термины"
从小,cóngxiǎo,"с детства, с малолетства, с малых лет, сызмальства"
答应,dāying,откликаться; согласиться; дать согласие на что-либо; обещать
打工,dǎ gōng,подрабатывать; устроиться на временную работу
打算,dǎsuàn,"планировать, план"
打印,dǎyìn,"распечатать, печатание, печать"
大部分,dàbùfen,"по большей части, большая часть, большинство"
大大,dàdà,"сильно, значительно"
大多数,dàduōshù,большинство
大海,dàhǎi,"море, океан"
大家,dàjiā,все
大量,dàliàng,"многочисленный, большое количество"
大门,dàmén,"главный вход, ворота"
大人,dàren,"взрослый, старший"
大声,dà shēng,"громко, шумно"
