Слово,Пиньинь,Перевод слова
['爱心'],['àixīn'],"['любящее сердце, заботящееся сердце; сердечность, любовь']"
['安排'],['ānpái'],"['назначать, организовывать, планировать, распределять']"
['安装'],['ānzhuāng'],"['монтаж, установка; установить, смонтировать, оборудовать, оснастить']"
['按'],['àn'],"['нажимать, вдавливать; сдерживать; в соответствии с']"
['按照'],['ànzhào'],"['в соответствии с...; согласно, по']"
['把'],['bǎ'],"['гл.-предлог, выносит дополнение перед сказуемым; крепко деражть, свхатить, взять']"
['把'],['bǎ'],['сч.слово для предметов с ручкой']
['把握'],['bǎwò'],['держать в руках; ухватить суть; уверенность']
['白'],['bái'],"['напрасно, впустую; бесплатно, не прилагая усилий']"
['白菜'],['báicài'],['китайская капуста']
['班级'],['bānjí'],['(учебный) класс']
['搬'],['bān'],"['переезжать, передвигать, двигать']"
['搬家'],['bān jiā'],['переезжать в другой дом']
['板'],['bǎn'],"['доска, плита; исправить; издание; окаменеть, затвердеть; деревянный, неподвижный']"
['办理'],['bànlǐ'],['вести дела; действовать; исполнять; оформлять']
['保'],['bǎo'],"['поддерживать, сохранять, защищать, гарантировать']"
['保安'],['bǎoān'],['обеспечивать общественную безопасность; защищать работников от несчастных случаев; охранник']
['保持'],['bǎochí'],"['держать; поддерживать, удерживать; сохранять; соблюдать; хранить']"
['保存'],['bǎocún'],"['хранить, сохранять; предохранять; (техн.) предохранение']"
['保护'],['bǎohù'],"['защищать, защита']"
['保留'],['bǎoliú'],"['сохранять, оставлять; (по-прежнему) иметь; удерживать (при себе); оставлять (за собой), резервировать, бронировать; возражение; оговорка; условие']"
['保险'],['bǎoxiǎn'],['страховать; страхование; страховой; безопасный; предохранительный']
['保证'],['bǎozhèng'],"['гарантировать, ручаться; гарантия, поручительство']"
['报'],['bào'],"['газета, пресса; отчет, сводка; телеграмма']"
['报到'],['bào dào'],"['докладывать, информировать']"
['报道'],['bàodào'],"['сообщать, информировать; сообщение; информация; репортаж']"
['报告'],['bàogào'],['докладывать; доносить; рапортовать; отчитываться; доклад; рапорт; отчёт']
['背'],['bēi'],"['спина, спинка; прислоняться спиной к; опираться на; поворачиваться спиной; заучивать; читать по памяти']"
['北部'],['běibù'],"['север, северная сторона']"
['背'],['bēi'],"['спина, спинка, задняя часть']"
['背后'],['bèihòu'],"['позади, за спиной']"
['被'],['bèi'],['показатель пассивного залога']
['被子'],['bèizi'],['одеяло']
['本来'],['běnlái'],"['изначально, на самом деле']"
['本领'],['běnlǐng'],"['способность, умение, навыки; качество, присущая особенность']"
['本事'],['běnshi'],"['умение; навыки; мастерство, способности; основной сюжет']"
